gene,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000155659.9,VSIG4,358.964723,589.9189284,264.6977004,1.931996279,0.347100708,5.566097195,2.61E-08,3.28E-06
ENSG00000101187.11,SLCO4A1,1124.232154,1848.839975,828.4738592,1.474790456,0.265509839,5.55456046,2.78E-08,3.47E-06
ENSG00000116353.11,MECR,769.9359679,620.5976497,830.8903835,-0.581978479,0.104772697,-5.554676879,2.78E-08,3.47E-06
ENSG00000140832.5,MARVELD3,18.17158089,34.94146308,11.32673102,1.709785408,0.30815567,5.54844701,2.88E-08,3.58E-06
ENSG00000164117.8,FBXO8,434.0231959,556.5735145,384.0026576,0.637258342,0.114957674,5.543417136,2.97E-08,3.67E-06
ENSG00000172716.12,SLFN11,238.9642597,380.8059706,181.0696838,1.07477681,0.193935525,5.541928477,2.99E-08,3.69E-06
ENSG00000166292.7,TMEM100,153.603811,274.0343628,104.4484837,1.259085619,0.2273056,5.539175539,3.04E-08,3.73E-06
ENSG00000257069.1,RP11-783K16.10,18.83542476,10.36012794,22.29472958,-1.206505307,0.218065003,-5.532778247,3.15E-08,3.85E-06
ENSG00000102554.9,KLF5,210.51788,385.1697459,139.231404,1.408872052,0.254678613,5.531960587,3.17E-08,3.85E-06
ENSG00000176472.6,ZNF575,163.4268258,114.0094095,183.5971998,-0.699811092,0.12667437,-5.524488438,3.30E-08,4.00E-06
ENSG00000185112.4,FAM43A,345.7755077,478.8630906,291.4540453,0.747116497,0.13529039,5.52231758,3.35E-08,4.03E-06
ENSG00000104833.6,TUBB4A,20856.71456,13003.30267,24062.1888,-0.841779874,0.152560509,-5.517678738,3.44E-08,4.12E-06
ENSG00000181029.7,TRAPPC5,65.55315089,34.25619858,78.32741714,-1.322676457,0.239820122,-5.515285577,3.48E-08,4.16E-06
ENSG00000106258.9,CYP3A5,57.77320785,105.5633758,38.26701687,1.278655648,0.23219833,5.506739207,3.66E-08,4.35E-06
ENSG00000106333.8,PCOLCE,189.623214,343.7518886,126.7135509,1.355778952,0.246296862,5.504653787,3.70E-08,4.38E-06
ENSG00000077984.4,CST7,13.46107251,27.56163533,7.705740745,1.750632626,0.3181015,5.503377465,3.73E-08,4.40E-06
ENSG00000267918.1,AL117190.2,434.0773567,185.5607433,535.5127091,-1.285096359,0.233858345,-5.495191374,3.90E-08,4.59E-06
ENSG00000111907.16,TPD52L1,2195.86144,3035.366755,1853.20621,1.028593748,0.187210859,5.494306018,3.92E-08,4.59E-06
ENSG00000103507.9,BCKDK,977.0464529,771.0724717,1061.117466,-0.527376305,0.0960589,-5.490134743,4.02E-08,4.68E-06
ENSG00000076716.7,GPC4,505.8014643,699.7265436,426.6483707,0.940069779,0.171522871,5.480725539,4.24E-08,4.77E-06
ENSG00000128610.7,FEZF1,7.485071728,13.6814975,4.955918351,1.797817484,0.328031052,5.480632014,4.24E-08,4.77E-06
ENSG00000155850.7,SLC26A2,522.5967936,1011.532498,323.0311998,1.545648966,0.281882434,5.483310692,4.17E-08,4.77E-06
ENSG00000176387.6,HSD11B2,112.5115067,187.8206935,81.7730631,1.620119397,0.295443177,5.483692038,4.17E-08,4.77E-06
ENSG00000224870.3,RP4-758J18.2,472.8129956,369.3171063,515.0562157,-0.575245717,0.104906324,-5.483422677,4.17E-08,4.77E-06
ENSG00000240889.1,NDUFB2-AS1,44.63312256,31.02827854,50.18612012,-0.791972497,0.144413555,-5.48405928,4.16E-08,4.77E-06
